品种代码,合约类型,持仓周期,VIX平滑窗口,VIX分位数参数组合,VIX状态检视周期,标的均线参数组合,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,strategy
Y,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 20)",0.42196157,0.044793113,0.106154485,0.061026777,0.733991134,pure_sell
Y,虚值一档,inf,20,"(0.55, 0.1)",10,"(2, 10)",-0.002357651,-0.00021589,0.091569824,0.061559156,-0.003507029,pure_sell
Y,平值期权,inf,20,"(0.55, 0.1)",10,"(2, 10)",-0.526696126,-0.054300286,0.103096043,0.076209399,-0.712514297,pure_sell
Y,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 10)",-1.33100818,-0.13023083,0.097843749,0.080541222,-1.616946284,pure_sell
Y,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 10)",-1.515090171,-0.168482873,0.111203199,0.097821023,-1.722358534,pure_sell
Y,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 20)",-1.955850346,-0.15142345,0.077420775,0.089162202,-1.698291953,pure_sell
Y,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 20)",-1.762517761,-0.155237765,0.088077277,0.091545137,-1.695751077,pure_sell
V,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 15)",-0.050794163,-0.005465114,0.107593348,0.130625315,-0.041838093,pure_sell
V,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 15)",0.081215639,0.009557397,0.117679263,0.125821348,0.075960055,pure_sell
V,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 20)",0.336539786,0.033451779,0.099399181,0.111059011,0.301207248,pure_sell
V,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 20)",0.410182688,0.045003405,0.109715514,0.104373159,0.431177948,pure_sell
V,虚值一档,inf,20,"(0.55, 0.1)",10,"(2, 10)",0.549827351,0.056072797,0.101982554,0.102275042,0.548254944,pure_sell
V,平值期权,inf,20,"(0.55, 0.1)",10,"(2, 10)",0.664893745,0.080900154,0.121673809,0.116140326,0.696572477,pure_sell
V,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.247455078,0.026022576,0.105160808,0.133146377,0.195443365,pure_sell
V,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 10)",0.146979575,0.017781447,0.120979033,0.145151539,0.122502641,pure_sell
V,虚值一档,inf,20,"(0.55, 0.1)",10,"(5, 20)",0.15669263,0.014323003,0.091408277,0.089418802,0.160178877,pure_sell
V,平值期权,inf,20,"(0.55, 0.1)",10,"(5, 20)",0.131193534,0.01409641,0.107447445,0.106914885,0.131847029,pure_sell
SC,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 15)",1.15596028,0.187802836,0.162464783,0.063746576,2.946085061,pure_sell
SC,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 15)",0.948648257,0.164594363,0.173504101,0.09049826,1.818757217,pure_sell
SC,虚值一档,inf,20,"(0.55, 0.1)",10,"(10, 20)",-0.300700738,-0.073310052,0.243797381,0.345608065,-0.212119044,pure_sell
SC,平值期权,inf,20,"(0.55, 0.1)",10,"(10, 20)",-0.488959267,-0.120667138,0.246783619,0.369122852,-0.326902376,pure_sell
SC,虚值一档,inf,20,"(0.55, 0.1)",10,"(2, 10)",0.239468937,0.038068119,0.158968924,0.166014841,0.229305518,pure_sell
SC,平值期权,inf,20,"(0.55, 0.1)",10,"(2, 10)",0.198245685,0.035008699,0.176592489,0.180697439,0.193742087,pure_sell
