品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合
C,平值期权,1.5551304392111305,0.0618710975046264,0.0397851498141929,0.0268726564866467,2.3023811410446458,3,20,"(0.7, 0.3)"
CU,虚值一档,-1.512359852730003,-0.0990274807176284,0.0654787817455423,0.2236853981460379,-0.4427087397675203,3,20,"(0.7, 0.3)"
CU,平值期权,-1.474433975356529,-0.1087916752449368,0.0737853827728232,0.2456796297241394,-0.4428192738937829,3,20,"(0.7, 0.3)"
I,虚值一档,-1.0709632866754626,-0.1729108757646694,0.1614535978179308,0.5199990291962128,-0.3325215357266071,3,20,"(0.7, 0.3)"
I,平值期权,-1.179172493365078,-0.2049517482277316,0.1738098110165782,0.592562512720823,-0.3458736316049942,3,20,"(0.7, 0.3)"
L,虚值一档,0.2355539895906871,0.0201503934642883,0.0855446918954879,0.1383472623196769,0.1456508291268322,3,20,"(0.7, 0.3)"
L,平值期权,0.5811200961052881,0.0557343531829419,0.0959084938835842,0.1314003959935497,0.4241566607278555,3,20,"(0.7, 0.3)"
M,虚值一档,-0.4493040693318222,-0.0294089483586801,0.0654544446980313,0.1276391860411333,-0.2304068936102646,3,20,"(0.7, 0.3)"
M,平值期权,-0.5226720362499404,-0.0392257579641319,0.0750485108129532,0.1506213955669363,-0.260426201845275,3,20,"(0.7, 0.3)"
P,虚值一档,-0.605027515814075,-0.0853340992693492,0.1410416832935784,0.2135179917664108,-0.3996576520947469,3,20,"(0.7, 0.3)"
P,平值期权,-0.152091842026813,-0.0195712478549932,0.1286804577693451,0.1266492833993376,-0.154531058760776,3,20,"(0.7, 0.3)"
PG,虚值一档,-0.0821394516658941,-0.0104762132484748,0.1275417967371795,0.1214765701957278,-0.0862406078109973,3,20,"(0.7, 0.3)"
PG,平值期权,0.1891614749747121,0.0252196535029449,0.13332341327068,0.1310671243670361,0.1924178440988805,3,20,"(0.7, 0.3)"
PP,虚值一档,-0.1610536277448981,-0.0128993936592633,0.0800937789473168,0.1096594125967057,-0.1176314312999597,3,20,"(0.7, 0.3)"
PP,平值期权,0.0733388313234088,0.0068279320173811,0.0931011838363144,0.1049944076119592,0.0650313876012899,3,20,"(0.7, 0.3)"
RB,虚值一档,-2.6322964260076764,-0.1023789868258599,0.0388934110210129,0.0195026792020887,-5.249483199974665,3,20,"(0.7, 0.3)"
RB,平值期权,-3.0389556302201743,-0.1341361211754491,0.0441388876631051,0.0233100960903764,-5.754421631527587,3,20,"(0.7, 0.3)"
RU,虚值一档,-0.3875241931459617,-0.0311071771637174,0.0802715745594775,0.1164069942612534,-0.2672277328448434,3,20,"(0.7, 0.3)"
RU,平值期权,-0.451731363115065,-0.0382242563288178,0.0846172292869587,0.1425220766840406,-0.2681988448256885,3,20,"(0.7, 0.3)"
SC,虚值一档,0.5964301077563212,0.0825157394922349,0.138349386489972,0.1326418977211635,0.6220940812057552,3,20,"(0.7, 0.3)"
SC,平值期权,0.7799898044506284,0.1253810029437518,0.1607469767275505,0.1155506595008794,1.0850738843493808,3,20,"(0.7, 0.3)"
V,虚值一档,-1.2028479861059052,-0.1174855948984722,0.0976728533077729,0.2930412918690074,-0.400918226060065,3,20,"(0.7, 0.3)"
V,平值期权,-1.200248298806424,-0.138273205115594,0.1152038334510438,0.3028865931882171,-0.4565180771460211,3,20,"(0.7, 0.3)"
Y,虚值一档,-2.022285988026095,-0.1422218913982276,0.0703272891373029,0.0928057354450975,-1.53246877163496,3,20,"(0.7, 0.3)"
Y,平值期权,-2.2676830018490715,-0.1850054563337229,0.0815834736084669,0.1174223445094529,-1.5755558033405574,3,20,"(0.7, 0.3)"
ZN,虚值一档,-0.0181566117346494,-0.0015121254153681,0.0832823567231159,0.0888328227596307,-0.0170221475395394,3,20,"(0.7, 0.3)"
ZN,平值期权,0.1073512961665832,0.0101091477102062,0.0941688463129433,0.0974160251964393,0.1037729438233714,3,20,"(0.7, 0.3)"
A,虚值一档,1.3531445115680862,0.0748056284005092,0.0552828081265473,0.0234514684329065,3.189805730695465,5,20,"(0.7, 0.3)"
A,平值期权,2.274658324749366,0.1415655315882392,0.0622359543180348,0.0233655882773842,6.058718912087563,5,20,"(0.7, 0.3)"
